text,reason,sentiment,source
i got full marks in my maths test,school,positive,generated
my techer gave me a gold star,school,positive,generated
we had sports meet at school today,school,positive,generated
i am happy because i finished all my homework,school,positive,generated
teacher said my drawing was the best in class,school,positive,generated
i got a prize at skool,school,positive,generated
the school trip to the museum was fun,school,positive,generated
i can read big words now and miss said good job,school,positive,generated
my class won the singing competition,school,positive,generated
i was chosen to be class monitor,school,positive,generated
exam was easy,school,positive,generated
i passed my spelling test becuz i practised,school,positive,generated
our new classroom has a big fan,school,positive,generated
we learned about planets in science,school,positive,generated
miss let us sit under the tree for the lesson,school,positive,generated
i got a sticker for neat handwriting,school,positive,generated
i answerd a hard question in class,school,positive,generated
teacher read us a funny story,school,positive,generated
no school tomorrow because of the holiday,school,positive,generated
the principal shook my hand,school,positive,generated
i was surprised when sir gave me a certificate,school,positive,generated
my name was on the notice board for good marks,school,positive,generated
my report card was really good,school,positive,generated
we made a volcano in class and it bubbled,school,positive,generated
today our class went to the library,school,positive,generated
i finaly learned my times tables,school,positive,generated
teacher picked me to lead the prayer at assembly,school,positive,generated
i got 95 for english,school,positive,generated
homework was short today,school,positive,generated
i was the first to finish the sums,school,positive,generated
our school concert went really well,school,positive,generated
miss hugged me when i said my poem,school,positive,generated
my essay was read out to the whole class,school,positive,generated
i could not believe i came first in class,school,positive,generated
the test was not hard at all,school,positive,generated
art period was so much fun today,school,positive,generated
we got new text books at school,school,positive,generated
i said my speech without forgeting,school,positive,generated
good marks,school,positive,generated
techer smiled at my work,school,positive,generated
i got a merit badge at assembly,school,positive,generated
we planted beans in the school garden,school,positive,generated
our class won the cleanest classroom prize,school,positive,generated
i got all ten spellings right,school,positive,generated
i am proud because i can write joined letters now,school,positive,generated
miss said i was very helpful in class,school,positive,generated
teacher gave no homework for the weekend,school,positive,generated
the results came out and i passed,school,positive,generated
today i was brave and read aloud in class,school,positive,generated
the new teacher is very kind,school,positive,generated
i understood fractions today,school,positive,generated
we did a science experment with magnets,school,positive,generated
my project got a star,school,positive,generated
i was hapy at school today,school,positive,generated
i got a certificate for good attendance,school,positive,generated
i won the quiz at school,school,positive,generated
i got a big part in the school play,school,positive,generated
sir said i improved a lot,school,positive,generated
i did my homwork all by myself,school,positive,generated
we had a fun day at school,school,positive,generated
i got low marks in my test,school,negative,generated
teacher shouted at the whole class,school,negative,generated
i forgot my homework and miss was angry,school,negative,generated
the exam was too hard,school,negative,generated
i didnt finish my sums in time,school,negative,generated
techer said my writing is messy,school,negative,generated
i am sad because i failed spelling,school,negative,generated
we have too much homwork,school,negative,generated
i did not get a star today,school,negative,generated
my name was not called for the school play,school,negative,generated
i was scolded for talking in class,school,negative,generated
school starts again tomorrow,school,negative,generated
i had to stay in at break to finish work,school,negative,generated
i lost marks for a silly mistake,school,negative,generated
teacher moved my seat to the front,school,negative,generated
i couldnt answer when miss asked me,school,negative,generated
the test was a surprise and i did not study,school,negative,generated
the school trip got cancelled,school,negative,generated
i came last in the reading test,school,negative,generated
my maths book is full of red marks,school,negative,generated
i was late for school and missed assembly,school,negative,generated
sir gave us a test without telling,school,negative,generated
i dont understand fractions,school,negative,generated
homework took all evening,school,negative,generated
our new class teacher never smiles,school,negative,generated
i got a note to take home to my parents,school,negative,generated
exams are next week and i am worried,school,negative,generated
i had to write lines for being noisy,school,negative,generated
my science project fell apart before class,school,negative,generated
i didnt get picked to be a prefect,school,negative,generated
miss gave me a sad face on my work,school,negative,generated
we had to do the test again,school,negative,generated
i was the only one who got it wrong,school,negative,generated
teacher didnt believe i did my homework,school,negative,generated
the class was too noisy and i couldnt learn,school,negative,generated
my report card was bad,school,negative,generated
i forgot my lines in the school play,school,negative,generated
there was no art class today,school,negative,generated
i dont like tution classes on saturday,school,negative,generated
skool is boring today,school,negative,generated
i ran out of time in the exam,school,negative,generated
i got 40 for maths,school,negative,generated
the teacher did not let me go to the toilet,school,negative,generated
i was put in the lower reading group,school,negative,generated
miss forgot to give me a sticker,school,negative,generated
i spelled my own name wrong on the test,school,negative,generated
i had to sit alone because i talked,school,negative,generated
the english paper had words i didnt know,school,negative,generated
our class trip was moved to next month,school,negative,generated
the principal was angry at our class,school,negative,generated
the whiteboard was too far and i couldnt see,school,negative,generated
i am tired of doing homework every day,school,negative,generated
teacher said i have to try harder,school,negative,generated
my answers got mixed up in the exm,school,negative,generated
i didnt know any answers in the quiz,school,negative,generated
my homework got a big red cross,school,negative,generated
becuz of the test we missed games period,school,negative,generated
the marks were not fair,school,negative,generated
homework is too hard for me,school,negative,generated
i was scared to read in front of the class,school,negative,generated
my best frend shared his lunch with me,friends,positive,generated
nimal played with me at break,friends,positive,generated
sara said i am her best friend,friends,positive,generated
i made a new friend today,friends,positive,generated
amaya invited me to her party,friends,positive,generated
we made up after our fight,friends,positive,generated
my freind helped me when i fell,friends,positive,generated
kavindu let me sit next to him,friends,positive,generated
the new girl wants to be my friend,friends,positive,generated
my friends picked me for their team,friends,positive,generated
sara gave me half of her chocolate,friends,positive,generated
i have lots of friends in my class,friends,positive,generated
my friend came to my house to play,friends,positive,generated
we started a club with my friends,friends,positive,generated
nimal said sorry to me,friends,positive,generated
my friend wrote me a nice note,friends,positive,generated
everyone laughed at my joke,friends,positive,generated
i was happy becuz my frend came back from holiday,friends,positive,generated
my friend lent me his pencil,friends,positive,generated
we held hands and walked together,friends,positive,generated
my best friend and i wore matching clips,friends,positive,generated
the boys let me join their game,friends,positive,generated
amaya taught me a new clapping song,friends,positive,generated
a girl in my class smiled at me,friends,positive,generated
i am not by myself anymore i have a friend,friends,positive,generated
they saved a seat for me at lunch,friends,positive,generated
my friend visited me when i was sick,friends,positive,generated
sara phoned me in the evening,friends,positive,generated
we are friends again,friends,positive,generated
my friend said my drawing was nice,friends,positive,generated
nobody left me out today,friends,positive,generated
my frend gave me a friendship band,friends,positive,generated
kavindu and i laughed all day,friends,positive,generated
my old friend moved back to our street,friends,positive,generated
my friend surprised me with a card,friends,positive,generated
i was surprised when the new boy said hi,friends,positive,generated
we shared our snacks at interval,friends,positive,generated
my friend stood up for me,friends,positive,generated
my friends cheered for me,friends,positive,generated
i slept over at my friends house,friends,positive,generated
all my friends came to see me,friends,positive,generated
a friend helped me find my eraser,friends,positive,generated
we told jokes on the bus,friends,positive,generated
my friend picked me first,friends,positive,generated
sara and me are best friends forever,friends,positive,generated
i got a letter from my pen pal,friends,positive,generated
my friend said i was kind,friends,positive,generated
my friends waited for me after class,friends,positive,generated
nimal shared his crayons,friends,positive,generated
the older kids were nice to me,friends,positive,generated
my frends and i sat together,friends,positive,generated
my friend hugged me when i was sad,friends,positive,generated
i have a new buddy,friends,positive,generated
a friend from another class waved at me,friends,positive,generated
we kept each others places in the line,friends,positive,generated
my friend called me clever,friends,positive,generated
she said sorry for taking my pencil,friends,positive,generated
i can talk to my freind about anything,friends,positive,generated
kavindu gave me his last sweet,friends,positive,generated
we made a plan to meet on sunday,friends,positive,generated
she took my crayons,friends,negative,generated
my friend didnt play with me today,friends,negative,generated
nobody wanted to sit with me,friends,negative,generated
sara is angry with me,friends,negative,generated
kavindu told everyone i cried,friends,negative,generated
they left me out of the game,friends,negative,generated
my best frend has a new best friend,friends,negative,generated
nimal broke my pencil and laughed,friends,negative,generated
my friend moved to another school,friends,negative,generated
i had a fight with my friend,friends,negative,generated
they laughed at my shoes,friends,negative,generated
amaya had a party and i wasnt asked,friends,negative,generated
my friends whispered about me,friends,negative,generated
he called me a bad name,friends,negative,generated
my friend did not share with me,friends,negative,generated
they wouldnt let me play,friends,negative,generated
no one picked me for their team,friends,negative,generated
my friend told my secret,friends,negative,generated
i sat by myself at interval,friends,negative,generated
my frend said she will not talk to me,friends,negative,generated
he copied my work and said i copied,friends,negative,generated
the girls wont let me join,friends,negative,generated
my friend is going away to another country,friends,negative,generated
sara was mean to me today,friends,negative,generated
we argued about who won,friends,negative,generated
my friend blamed me for breaking the toy,friends,negative,generated
he took my seat at lunch,friends,negative,generated
they made fun of my voice,friends,negative,generated
i lost my best friend,friends,negative,generated
my friend didnt come today and i was lonely,friends,negative,generated
nobody said hi to me,friends,negative,generated
my friend chose someone else as partner,friends,negative,generated
they called me a baby,friends,negative,generated
kavindu wont give back my ball,friends,negative,generated
i have no friends in the new class,friends,negative,generated
my friend lied to me,friends,negative,generated
becuz i was late my friends left without me,friends,negative,generated
i waited but my friend never came,friends,negative,generated
she tore my drawing,friends,negative,generated
my frend broke our promise,friends,negative,generated
amaya is not my friend anymore,friends,negative,generated
they didnt laugh at my joke,friends,negative,generated
he said my drawing was ugly,friends,negative,generated
the big kids took our swing,friends,negative,generated
i was surprised my friend didnt say bye,friends,negative,generated
my friend went to play with others,friends,negative,generated
my friends forgot my birthday,friends,negative,generated
he ate my snack without asking,friends,negative,generated
they changed the rules so i lost,friends,negative,generated
my friend is angry and wont say why,friends,negative,generated
the new boy is not nice,friends,negative,generated
my freind said i talk too much,friends,negative,generated
i was the only one not invited,friends,negative,generated
we are not friends now,friends,negative,generated
nimal told the teacher on me,friends,negative,generated
my friend was sitting with someone else,friends,negative,generated
nobody wanted to be my partner,friends,negative,generated
they hid from me as a joke,friends,negative,generated
my friend cheated in the game,friends,negative,generated
i miss my old friends,friends,negative,generated
my cousin came without telling us,family,positive,generated
thaththa took me to the beach,family,positive,generated
my baby brother said my name,family,positive,generated
grandma came to stay with us,family,positive,generated
we went on a family trip to kandy,family,positive,generated
my dad came home early,family,positive,generated
my sister helped me carry my bag,family,positive,generated
appa played cricket with me,family,positive,generated
my mom hugged me tight,family,positive,generated
we all looked at the moon together,family,positive,generated
my aunty visited from abroad,family,positive,generated
achchi told me a story at night,family,positive,generated
my big brother taught me to ride a bike,family,positive,generated
my new baby sister was born,family,positive,generated
we had dinner together all of us,family,positive,generated
papa said he is proud of me,family,positive,generated
my grandpa let me help in the garden,family,positive,generated
mummy came to pick me up from school,family,positive,generated
thaththa is back from his work trip,family,positive,generated
my family went to the temple together,family,positive,generated
my cousins stayed at our house,family,positive,generated
my brother shared his room with me,family,positive,generated
dad fixed my bicycle,family,positive,generated
mom plaited my hair nicely,family,positive,generated
i helped amma make the bed,family,positive,generated
my parents said yes,family,positive,generated
we went to see seeya in the village,family,positive,generated
my mum sang to me,family,positive,generated
my sister said sorry,family,positive,generated
we moved to a bigger house,family,positive,generated
nanda came with a surprise for us,family,positive,generated
my dad took leave to be with us,family,positive,generated
i was suprised when my uncle came from dubai,family,positive,generated
my family clapped for me,family,positive,generated
we had a picnic with my cousins,family,positive,generated
my mom said i can stay up late,family,positive,generated
dad and me went fishing,family,positive,generated
grandma held my hand on the walk,family,positive,generated
my brother let me win,family,positive,generated
the baby laughed when i made faces,family,positive,generated
amma was not angry about the spill,family,positive,generated
my sister and i made a tent with bedsheets,family,positive,generated
my sister came home from hostel,family,positive,generated
papa read me a bedtime story,family,positive,generated
my auntys baby is so cute,family,positive,generated
thaththa carried me on his sholders,family,positive,generated
my parents came to my concert,family,positive,generated
my cousin brother called me on video,family,positive,generated
we all went to nuwara eliya,family,positive,generated
my mum was very happy with me,family,positive,generated
we celebrated new year with the whole family,family,positive,generated
i got to talk to my dad on the phone,family,positive,generated
my family is all at home today,family,positive,generated
my little brother shared his toy,family,positive,generated
grandpa taught me an old song,family,positive,generated
my parents made up after arguing,family,positive,generated
my aunt took me shopping,family,positive,generated
my family laughed together at dinner,family,positive,generated
amma let me help her in the kitchen,family,positive,generated
my granny calld me her little star,family,positive,generated
amma did not come to pick me,family,negative,generated
my brother broke my toy,family,negative,generated
dad was angry with me,family,negative,generated
my sister took my things without asking,family,negative,generated
my parents are always busy,family,negative,generated
grandma went back to her house,family,negative,generated
thaththa went overseas for work,family,negative,generated
mummy said no to the trip,family,negative,generated
my brother gets everything,family,negative,generated
i got in trouble for spilling milk,family,negative,generated
