text,reason,sentiment,source
i got full marks in my maths test,school,positive,generated
My techer gave me a gold star!,school,positive,generated
We had sports meet at school today.,school,positive,generated
i am happy because i finished all my homework,school,positive,generated
teacher said my drawing was the best in class,school,positive,generated
i got a prize at skool,school,positive,generated
the school trip to the museum was fun,school,positive,generated
i can read big words now and miss said good job,school,positive,generated
My class won the singing competition.,school,positive,generated
i was chosen to be class monitor,school,positive,generated
exam wus easy,school,positive,generated
I passed my spelling test becuz I practised.,school,positive,generated
our new classroom has a big fan,school,positive,generated
We learned about planets in science!,school,positive,generated
miss let us sit under the tree for the lesson,school,positive,generated
i got a sticker for neat handwriting,school,positive,generated
i answerd a hard question in class,school,positive,generated
teacher read us a funny story,school,positive,generated
no school tomorrow because of the holiday,school,positive,generated
the principal shook my hand,school,positive,generated
I was surprised when sir gave me a certificate.,school,positive,generated
my name was on the notice board for good marks,school,positive,generated
My report card was really good!,school,positive,generated
we made a volcano in class and it bubbled,school,positive,generated
Today our class went to the library.,school,positive,generated
I finaly learned my times tables.,school,positive,generated
Teacher picked me to lead the prayer at assembly!,school,positive,generated
I got 95 for english.,school,positive,generated
Homework was short today.,school,positive,generated
i was the first to finish the sums,school,positive,generated
our school concert went realy well,school,positive,generated
miss hugged me when i said my poem,school,positive,generated
my essay was read out to the whole class,school,positive,generated
I could not believe I came first in class.,school,positive,generated
The test was not hard at all.,school,positive,generated
Art period was so much fun today.,school,positive,generated
we got new text books at school,school,positive,generated
i said my speech without forgeting,school,positive,generated
good marks,school,positive,generated
Techer smiled at my work.,school,positive,generated
i got a merit badge at assembly,school,positive,generated
we planted beans in the skool garden,school,positive,generated
Our class won the cleanest classroom prize.,school,positive,generated
i got all ten spellings right,school,positive,generated
I am proud because I can write joined letters now.,school,positive,generated
miss said i was very helpful in class,school,positive,generated
techer gave no homework for the weekend,school,positive,generated
The results came out and I passed.,school,positive,generated
Today I was brave and read aloud in class.,school,positive,generated
the new teacher is very kind,school,positive,generated
i understood fractions today,school,positive,generated
we did a science experment with magnets,school,positive,generated
my project got a star,school,positive,generated
i was hapy at school today,school,positive,generated
I got a certificate for good attendance!,school,positive,generated
I won the quiz at skool!,school,positive,generated
I got a big part in the school play.,school,positive,generated
Sir sed I improved a lot!,school,positive,generated
i did my homwork all by myself,school,positive,generated
We had a fun day at skool.,school,positive,generated
I got low marks in my test.,school,negative,generated
Teacher shouted at the whole class.,school,negative,generated
I forgot my homework and miss was angry.,school,negative,generated
The exam wus too hard.,school,negative,generated
i didnt finish my sums in time,school,negative,generated
Techer said my writing is messy.,school,negative,generated
I am sad becuz I failed spelling.,school,negative,generated
we have too much homwork,school,negative,generated
i did not get a star today,school,negative,generated
my name was not called for the school play,school,negative,generated
i was scolded for talking in class,school,negative,generated
school starts again tomorrow,school,negative,generated
i had to stay in at break to finish work,school,negative,generated
I lost marks for a silly mistake.,school,negative,generated
Teacher moved my seat to the front.,school,negative,generated
I couldnt answer when miss asked me.,school,negative,generated
The test wus a surprise and I did not study.,school,negative,generated
The school trip got cancelled.,school,negative,generated
i came last in the reading test,school,negative,generated
My maths book is full of red marks.,school,negative,generated
I was late for school and missed assembly.,school,negative,generated
sir gave us a test without telling,school,negative,generated
I dont understand fractions.,school,negative,generated
Homework took all evening.,school,negative,generated
Our new class teacher never smiles.,school,negative,generated
I got a note to take home to my parents.,school,negative,generated
Exams are next week and I am worried.,school,negative,generated
i had to write lines for being noisy,school,negative,generated
my science project fell apart before class,school,negative,generated
i didnt get picked to be a prefect,school,negative,generated
miss gave me a sad face on my work,school,negative,generated
we had to do the test again,school,negative,generated
I wus the only one who got it wrong.,school,negative,generated
teacher didnt believe i did my homework,school,negative,generated
the class wus too noisy and i couldnt learn,school,negative,generated
My report card wus bad.,school,negative,generated
I forgot my lines in the school play.,school,negative,generated
There was no art class today.,school,negative,generated
I dont like tution classes on saturday.,school,negative,generated
Skool is boring today.,school,negative,generated
I ran out of time in the exam.,school,negative,generated
i got 40 for maths,school,negative,generated
The teacher did not let me go to the toilet.,school,negative,generated
I was put in the lower reading group.,school,negative,generated
miss forgot to give me a sticker,school,negative,generated
I spelled my own name wrong on the test.,school,negative,generated
i had to sit alone because i talked,school,negative,generated
the english paper had words i didnt know,school,negative,generated
our class trip wus moved to next month,school,negative,generated
The principal was angry at our class.,school,negative,generated
The whiteboard was too far and I couldnt see.,school,negative,generated
I am tired of doing homework every day.,school,negative,generated
Teacher said I have to try harder.,school,negative,generated
My answers got mixed up in the exm.,school,negative,generated
I didnt know any answers in the quiz.,school,negative,generated
my homwork got a big red cross,school,negative,generated
becuz of the test we missed games period,school,negative,generated
the marks were not fair,school,negative,generated
Homwork is too hard for me.,school,negative,generated
i was scared to read in front of the class,school,negative,generated
my best frend shared his lunch with me,friends,positive,generated
Nimal played wit me at break!,friends,positive,generated
sara said i am her best friend,friends,positive,generated
I made a new friend today!,friends,positive,generated
Amaya invited me to her party!,friends,positive,generated
we made up after our fight,friends,positive,generated
My freind helped me when I fell.,friends,positive,generated
kavindu let me sit next to him,friends,positive,generated
The new girl wants to be my friend.,friends,positive,generated
my frends picked me for their team,friends,positive,generated
Sara gave me half of her choclate.,friends,positive,generated
I have lots of frends in my class!,friends,positive,generated
My friend came to my house to play!,friends,positive,generated
we started a club with my friends,friends,positive,generated
Nimal said sorry to me.,friends,positive,generated
My frend wrote me a nice note!,friends,positive,generated
Everyone laughed at my joke.,friends,positive,generated
I was happy becuz my frend came back from holiday!,friends,positive,generated
My friend lent me his pencil.,friends,positive,generated
We held hands and walked together!,friends,positive,generated
My best friend and I wore matching clips.,friends,positive,generated
The boys let me join their game.,friends,positive,generated
amaya taught me a new clapping song,friends,positive,generated
a girl in my class smiled at me,friends,positive,generated
I am not by myself anymore I have a friend.,friends,positive,generated
They saved a seat for me at lunch.,friends,positive,generated
my friend visited me when i was sick,friends,positive,generated
sara phoned me in the evening,friends,positive,generated
We are friends again.,friends,positive,generated
my friend said my drawing was nice,friends,positive,generated
Nobody left me out today!,friends,positive,generated
my frend gave me a friendship band,friends,positive,generated
Kavindu and I laughed all day.,friends,positive,generated
my old frend moved back to our street,friends,positive,generated
My friend surprised me with a card.,friends,positive,generated
I was surprised when the new boy said hi!,friends,positive,generated
We shared our snacks at interval.,friends,positive,generated
my friend stood up for me,friends,positive,generated
my friends cheered for me,friends,positive,generated
I slept over at my friends house!,friends,positive,generated
All my frends came to see me.,friends,positive,generated
A friend helped me find my eraser.,friends,positive,generated
we told jokes on the bus,friends,positive,generated
My friend picked me first.,friends,positive,generated
Sara and me are best friends forever.,friends,positive,generated
i got a letter from my pen pal,friends,positive,generated
My friend said I was kind.,friends,positive,generated
My friends waited for me after class.,friends,positive,generated
Nimal shared his crayons.,friends,positive,generated
The older kids were nice to me.,friends,positive,generated
My frends and I sat together!,friends,positive,generated
my friend hugged me when i was sad,friends,positive,generated
i have a new buddy,friends,positive,generated
A frend from another class waved at me!,friends,positive,generated
We kept each others places in the line!,friends,positive,generated
My friend called me clever!,friends,positive,generated
she said sorry for taking my pencil,friends,positive,generated
I can talk to my freind about anything!,friends,positive,generated
kavindu gave me his last sweet,friends,positive,generated
We made a plan to meet on sunday.,friends,positive,generated
She took my crayons.,friends,negative,generated
My friend didnt play with me today.,friends,negative,generated
nobody wanted to sit wit me,friends,negative,generated
sara is angry with me,friends,negative,generated
Kavindu told everyone I cried.,friends,negative,generated
they left me out of the game,friends,negative,generated
My best frend has a new best friend.,friends,negative,generated
Nimal broke my pencil and laughed.,friends,negative,generated
My friend moved to another school.,friends,negative,generated
I had a fight with my friend.,friends,negative,generated
They laughed at my shoes.,friends,negative,generated
amaya had a party and i wasnt asked,friends,negative,generated
my friends whispered about me,friends,negative,generated
He called me a bad name.,friends,negative,generated
My friend did not share with me.,friends,negative,generated
thay wouldnt let me play,friends,negative,generated
No one picked me for their team.,friends,negative,generated
My friend told my secret.,friends,negative,generated
I sat by myself at interval.,friends,negative,generated
my frend said she will not talk to me,friends,negative,generated
he copied my work and said i copied,friends,negative,generated
the girls wont let me join,friends,negative,generated
my friend is going away to another country,friends,negative,generated
sara was mean to me today,friends,negative,generated
we argued about who won,friends,negative,generated
my friend blamed me for breaking the toy,friends,negative,generated
He took my seat at lunch.,friends,negative,generated
They made fun of my voice.,friends,negative,generated
i lost my best friend,friends,negative,generated
my friend didnt come today and i was lonely,friends,negative,generated
Nobody said hi to me.,friends,negative,generated
my friend chose someone else as partner,friends,negative,generated
Thay called me a baby.,friends,negative,generated
kavindu wont give back my ball,friends,negative,generated
I have no frends in the new class.,friends,negative,generated
my friend lied to me,friends,negative,generated
Becuz I was late my friends left without me.,friends,negative,generated
I waited but my friend never came.,friends,negative,generated
She tore my drawing.,friends,negative,generated
my frend broke our promise,friends,negative,generated
amaya is not my frend anymore,friends,negative,generated
They didnt laugh at my joke.,friends,negative,generated
He said my drawing was ugly.,friends,negative,generated
the big kids took our swing,friends,negative,generated
i was surprised my friend didnt say bye,friends,negative,generated
My friend went to play with others.,friends,negative,generated
My friends forgot my birthday.,friends,negative,generated
he ate my snack without asking,friends,negative,generated
They changed the rules so I lost.,friends,negative,generated
my friend is angry and wont say why,friends,negative,generated
The new boy is not nice.,friends,negative,generated
My freind said I talk too much.,friends,negative,generated
I was the only one not invited.,friends,negative,generated
we are not friends now,friends,negative,generated
Nimal told the teacher on me.,friends,negative,generated
My friend was sitting with someone else.,friends,negative,generated
Nobody wanted to be my partner.,friends,negative,generated
thay hid from me as a joke,friends,negative,generated
My friend cheated in the game.,friends,negative,generated
I miss my old friends.,friends,negative,generated
My cousin came without telling us.,family,positive,generated
Thaththa took me to the beach.,family,positive,generated
My baby bruther said my name.,family,positive,generated
grandma came to stay with us,family,positive,generated
We went on a family trip to kandy.,family,positive,generated
my dad came home early,family,positive,generated
My sister helped me carry my bag.,family,positive,generated
appa played cricket with me,family,positive,generated
My mom hugged me tight.,family,positive,generated
we all looked at the moon together,family,positive,generated
My aunty visited from abroad.,family,positive,generated
achchi told me a story at night,family,positive,generated
my big bruther taught me to ride a bike,family,positive,generated
My new babby sister was born.,family,positive,generated
We had dinner together all of us.,family,positive,generated
papa said he is proud of me,family,positive,generated
My grandpa let me help in the gardan.,family,positive,generated
Mummy came to pick me up from school!,family,positive,generated
Thaththa is back from his work trip.,family,positive,generated
My family went to the temple together.,family,positive,generated
My cousins stayed at our hous.,family,positive,generated
my brother shared his room with me,family,positive,generated
dad fixed my bicycle,family,positive,generated
Mom plaited my hair nicely.,family,positive,generated
I helped amma make the bed.,family,positive,generated
my parents said yes,family,positive,generated
We whent to see seeya in the village.,family,positive,generated
My mum sang to me.,family,positive,generated
my sister said sorry,family,positive,generated
We moved to a bigger house!,family,positive,generated
nanda came with a surprise for us,family,positive,generated
my dad took leave to be with us,family,positive,generated
I was suprised when my uncle came from dubai!,family,positive,generated
my family clapped for me,family,positive,generated
we had a picnic with my cousins,family,positive,generated
my mom said i can stay up late,family,positive,generated
Dad and me went fishing!,family,positive,generated
Grandma held my hand on the walk.,family,positive,generated
my bruther let me win,family,positive,generated
the baby laughed when i made faces,family,positive,generated
amma was not angry about the spill,family,positive,generated
My sister and I made a tent wit bedsheets!,family,positive,generated
my sister came home from hostel,family,positive,generated
Papa read me a bedtime story.,family,positive,generated
my auntys babby is so cute,family,positive,generated
thaththa carried me on his sholders,family,positive,generated
my parents came to my concert,family,positive,generated
My cousin brother called me on video.,family,positive,generated
We all went to nuwara eliya.,family,positive,generated
my mum was very happy with me,family,positive,generated
We celebrated new year with the whole family.,family,positive,generated
I got to talk to my dad on the phone.,family,positive,generated
my family is all at home today,family,positive,generated
My little brother shared his toy!,family,positive,generated
Grandpa taught me an old song.,family,positive,generated
My parents made up after arguing!,family,positive,generated
My aunt took me shopping!,family,positive,generated
